"cause","effect"
"hsa-miR-30c-5p","SOX9"
"hsa-miR-30c-5p","SUV39H2"
"hsa-miR-30c-5p","SYNCRIP"
"hsa-miR-30c-5p","TAF4B"
"hsa-miR-30c-5p","TFAM"
"hsa-miR-30c-5p","TGFBR2"
"hsa-miR-30c-5p","TGIF2"
"hsa-miR-30c-5p","TIMP2"
"hsa-miR-30c-5p","TIMP3"
"hsa-miR-30c-5p","TNFRSF8"
"hsa-miR-30c-5p","TNIP1"
"hsa-miR-30c-5p","UBE2E3"
"hsa-miR-30c-5p","VCAN"
"hsa-miR-30c-5p","VIM"
"hsa-miR-30c-5p","WDR1"
"hsa-miR-30c-5p","WIPF1"
"hsa-miR-30c-5p","WNT7B"
"hsa-miR-30c-5p","XPOT"
"hsa-miR-30c-5p","YBX1"
"hsa-miR-30c-5p","YWHAQ"
"hsa-miR-30c-5p","ZC3HC1"
"hsa-miR-30c-5p","ZEB2"
"hsa-miR-30c-5p","ZRANB2"
"hsa-miR-30d-5p","ACTR1A"
"hsa-miR-30d-5p","ADAM19"
"hsa-miR-30d-5p","ADRA2A"
"hsa-miR-30d-5p","APBA1"
"hsa-miR-30d-5p","ATG12"
"hsa-miR-30d-5p","BAMBI"
"hsa-miR-30d-5p","C6"
"hsa-miR-30d-5p","C8orf33"
"hsa-miR-30d-5p","CD2AP"
"hsa-miR-30d-5p","EFNA3"
"hsa-miR-30d-5p","FAS"
"hsa-miR-30d-5p","FZD6"
"hsa-miR-30d-5p","GAB1"
"hsa-miR-30d-5p","GFRA1"
"hsa-miR-30d-5p","GJA1"
"hsa-miR-30d-5p","GNAI2"
"hsa-miR-30d-5p","HBEGF"
"hsa-miR-30d-5p","HDAC5"
"hsa-miR-30d-5p","HLF"
"hsa-miR-30d-5p","HSPA1B"
"hsa-miR-30d-5p","ITGA5"
"hsa-miR-30d-5p","JAM2"
"hsa-miR-30d-5p","KCNJ15"
"hsa-miR-30d-5p","MAP4K4"
"hsa-miR-30d-5p","MARCKS"
"hsa-miR-30d-5p","NUAK1"
"hsa-miR-30d-5p","PHLDB2"
"hsa-miR-30d-5p","PRDM1"
"hsa-miR-30d-5p","RAB4A"
"hsa-miR-30d-5p","RASGRF2"
"hsa-miR-30d-5p","RCOR3"
"hsa-miR-30d-5p","RNF139"
"hsa-miR-30d-5p","SGK3"
"hsa-miR-30d-5p","SH2B3"
"hsa-miR-30d-5p","TFPI2"
"hsa-miR-30d-5p","TGFBR2"
"hsa-miR-30d-5p","TIFA"
"hsa-miR-30d-5p","TM4SF1"
"hsa-miR-30d-5p","TNFRSF10B"
"hsa-miR-30d-5p","TPD52"
"hsa-miR-30d-5p","TPM4"
"hsa-miR-30d-5p","TRPS1"
"hsa-miR-30d-5p","UBE2W"
"hsa-miR-30d-5p","VCPIP1"
"hsa-miR-30d-5p","WBP2"
"hsa-miR-30d-5p","YWHAZ"
"hsa-miR-30d-5p","ZHX1"
"hsa-miR-30e-5p","ABI2"
"hsa-miR-30e-5p","ACP1"
"hsa-miR-30e-5p","ADRA1D"
"hsa-miR-30e-5p","AFAP1L2"
"hsa-miR-30e-5p","AKAP3"
"hsa-miR-30e-5p","AKAP9"
"hsa-miR-30e-5p","AKTIP"
"hsa-miR-30e-5p","AMOT"
"hsa-miR-30e-5p","ANKRD13A"
"hsa-miR-30e-5p","AP1G1"
"hsa-miR-30e-5p","APBA1"
"hsa-miR-30e-5p","APPL1"
"hsa-miR-30e-5p","ARIH1"
"hsa-miR-30e-5p","ASAP2"
"hsa-miR-30e-5p","ASH1L"
"hsa-miR-30e-5p","ATF7IP"
"hsa-miR-30e-5p","ATP1A1"
"hsa-miR-30e-5p","ATP6V1A"
"hsa-miR-30e-5p","BAG4"
"hsa-miR-30e-5p","BAZ1B"
"hsa-miR-30e-5p","BAZ2B"
"hsa-miR-30e-5p","BCL11A"
"hsa-miR-30e-5p","BCL2"
"hsa-miR-30e-5p","BCLAF1"
"hsa-miR-30e-5p","BDKRB2"
"hsa-miR-30e-5p","BEND7"
"hsa-miR-30e-5p","BIRC6"
"hsa-miR-30e-5p","BNC2"
"hsa-miR-30e-5p","BPTF"
"hsa-miR-30e-5p","BRAP"
"hsa-miR-30e-5p","BRCA2"
"hsa-miR-30e-5p","C11orf30"
"hsa-miR-30e-5p","CBFB"
"hsa-miR-30e-5p","CCDC120"
"hsa-miR-30e-5p","CCNT2"
"hsa-miR-30e-5p","CD99"
"hsa-miR-30e-5p","CEBPZ"
"hsa-miR-30e-5p","CEP76"
"hsa-miR-30e-5p","CHD9"
"hsa-miR-30e-5p","CKAP4"
"hsa-miR-30e-5p","CNKSR2"
"hsa-miR-30e-5p","CNOT1"
"hsa-miR-30e-5p","COL13A1"
"hsa-miR-30e-5p","COL1A2"
"hsa-miR-30e-5p","COPA"
"hsa-miR-30e-5p","CPE"
"hsa-miR-30e-5p","CPSF3"
"hsa-miR-30e-5p","CPSF6"
"hsa-miR-30e-5p","CREB1"
"hsa-miR-30e-5p","CRKL"
"hsa-miR-30e-5p","CSNK2A2"
"hsa-miR-30e-5p","CTCF"
"hsa-miR-30e-5p","CUL1"
"hsa-miR-30e-5p","CUL2"
"hsa-miR-30e-5p","DACT1"
"hsa-miR-30e-5p","DBF4"
"hsa-miR-30e-5p","DCK"
"hsa-miR-30e-5p","DCN"
"hsa-miR-30e-5p","DCUN1D1"
"hsa-miR-30e-5p","DDX17"
"hsa-miR-30e-5p","DLL4"
"hsa-miR-30e-5p","DOCK7"
"hsa-miR-30e-5p","DPF2"
"hsa-miR-30e-5p","DSN1"
"hsa-miR-30e-5p","DYRK1A"
"hsa-miR-30e-5p","E2F3"
"hsa-miR-30e-5p","EDNRA"
"hsa-miR-30e-5p","EED"
"hsa-miR-30e-5p","EEF1A1"
"hsa-miR-30e-5p","EHF"
"hsa-miR-30e-5p","EIF4ENIF1"
"hsa-miR-30e-5p","ELK4"
"hsa-miR-30e-5p","ELP2"
"hsa-miR-30e-5p","ENOX2"
"hsa-miR-30e-5p","EP300"
"hsa-miR-30e-5p","EPB41"
"hsa-miR-30e-5p","EPC1"
"hsa-miR-30e-5p","ETV6"
"hsa-miR-30e-5p","EXOC8"
"hsa-miR-30e-5p","FANCL"
"hsa-miR-30e-5p","FAP"
"hsa-miR-30e-5p","FBXO28"
"hsa-miR-30e-5p","FGF5"
"hsa-miR-30e-5p","FN1"
"hsa-miR-30e-5p","FNBP1L"
"hsa-miR-30e-5p","FOXF2"
"hsa-miR-30e-5p","FOXJ3"
"hsa-miR-30e-5p","FOXO3"
"hsa-miR-30e-5p","FRMD6"
"hsa-miR-30e-5p","FZD2"
"hsa-miR-30e-5p","GAS1"
"hsa-miR-30e-5p","GATAD2B"
"hsa-miR-30e-5p","GJA1"
"hsa-miR-30e-5p","GNAI2"
"hsa-miR-30e-5p","GOLGA4"
"hsa-miR-30e-5p","GOLGB1"
"hsa-miR-30e-5p","GPBP1L1"
"hsa-miR-30e-5p","GTF2H1"
"hsa-miR-30e-5p","HBEGF"
"hsa-miR-30e-5p","HIPK2"
"hsa-miR-30e-5p","HIRA"
"hsa-miR-30e-5p","HNRNPA0"
"hsa-miR-30e-5p","HNRNPU"
"hsa-miR-30e-5p","HOXA11"
"hsa-miR-30e-5p","HOXD11"
"hsa-miR-30e-5p","HPS5"
"hsa-miR-30e-5p","HSF2"
"hsa-miR-30e-5p","HTATSF1"
"hsa-miR-30e-5p","IGFBP7"
"hsa-miR-30e-5p","IKZF5"
"hsa-miR-30e-5p","INPP4A"
"hsa-miR-30e-5p","INSR"
"hsa-miR-30e-5p","ITGA5"
"hsa-miR-30e-5p","ITPR2"
"hsa-miR-30e-5p","ITSN2"
"hsa-miR-30e-5p","JDP2"
"hsa-miR-30e-5p","JUNB"
"hsa-miR-30e-5p","KCNJ12"
"hsa-miR-30e-5p","KCNJ15"
"hsa-miR-30e-5p","KIF1B"
"hsa-miR-30e-5p","KLF11"
"hsa-miR-30e-5p","KPNA6"
"hsa-miR-30e-5p","LAMA4"
"hsa-miR-30e-5p","LIN7C"
"hsa-miR-30e-5p","LRP6"
"hsa-miR-30e-5p","LUC7L2"
"hsa-miR-30e-5p","MAP3K12"
"hsa-miR-30e-5p","MAPK1"
"hsa-miR-30e-5p","MAPK8"
"hsa-miR-30e-5p","MARK2"
"hsa-miR-30e-5p","MATR3"
"hsa-miR-30e-5p","MBD3"
"hsa-miR-30e-5p","MDM4"
"hsa-miR-30e-5p","MEF2A"
"hsa-miR-30e-5p","MGA"
"hsa-miR-30e-5p","MGEA5"
"hsa-miR-30e-5p","MIB1"
"hsa-miR-30e-5p","MIDN"
"hsa-miR-30e-5p","MLLT10"
"hsa-miR-30e-5p","MLXIP"
"hsa-miR-30e-5p","MMP16"
"hsa-miR-30e-5p","MSH2"
"hsa-miR-30e-5p","MTF1"
"hsa-miR-30e-5p","MTF2"
"hsa-miR-30e-5p","NAE1"
"hsa-miR-30e-5p","NCBP1"
"hsa-miR-30e-5p","NCK1"
"hsa-miR-30e-5p","NCKAP1"
"hsa-miR-30e-5p","NCOA6"
"hsa-miR-30e-5p","NFAT5"
"hsa-miR-30e-5p","NFATC3"
"hsa-miR-30e-5p","NFIB"
"hsa-miR-30e-5p","NIPBL"
"hsa-miR-30e-5p","NOTCH2"
"hsa-miR-30e-5p","NPAT"
"hsa-miR-30e-5p","NR1D2"
"hsa-miR-30e-5p","NRD1"
"hsa-miR-30e-5p","NUAK1"
"hsa-miR-30e-5p","NUP214"
"hsa-miR-30e-5p","NUP50"
"hsa-miR-30e-5p","P4HA2"
"hsa-miR-30e-5p","PABPC4"
"hsa-miR-30e-5p","PAPOLA"
"hsa-miR-30e-5p","PARD6B"
"hsa-miR-30e-5p","PCNT"
"hsa-miR-30e-5p","PDGFRB"
"hsa-miR-30e-5p","PEG10"
"hsa-miR-30e-5p","PHF10"
"hsa-miR-30e-5p","PHIP"
"hsa-miR-30e-5p","PI4K2B"
"hsa-miR-30e-5p","PIAS1"
"hsa-miR-30e-5p","PIK3CA"
"hsa-miR-30e-5p","PITPNM2"
"hsa-miR-30e-5p","PLAA"
"hsa-miR-30e-5p","PMEPA1"
"hsa-miR-30e-5p","POGZ"
"hsa-miR-30e-5p","PPARA"
"hsa-miR-30e-5p","PPP1CB"
"hsa-miR-30e-5p","PPP1CC"
"hsa-miR-30e-5p","PPP1R9A"
"hsa-miR-30e-5p","PPP3R1"
"hsa-miR-30e-5p","PRLR"
"hsa-miR-30e-5p","PRPF40A"
"hsa-miR-30e-5p","PRRX1"
"hsa-miR-30e-5p","PTCH1"
"hsa-miR-30e-5p","PTPN11"
"hsa-miR-30e-5p","PTPN12"
"hsa-miR-30e-5p","PTPN4"
"hsa-miR-30e-5p","PTPRK"
"hsa-miR-30e-5p","PUM1"
"hsa-miR-30e-5p","PUM2"
"hsa-miR-30e-5p","PURB"
"hsa-miR-30e-5p","RAB10"
"hsa-miR-30e-5p","RAB11FIP2"
"hsa-miR-30e-5p","RAB31"
"hsa-miR-30e-5p","RALGPS1"
"hsa-miR-30e-5p","RANBP10"
"hsa-miR-30e-5p","RANBP2"
"hsa-miR-30e-5p","RARB"
"hsa-miR-30e-5p","RCAN1"
"hsa-miR-30e-5p","RCN3"
"hsa-miR-30e-5p","RCOR3"
"hsa-miR-30e-5p","REL"
"hsa-miR-30e-5p","REV3L"
"hsa-miR-30e-5p","RFX3"
"hsa-miR-30e-5p","RIF1"
"hsa-miR-30e-5p","RLF"
"hsa-miR-30e-5p","RNF138"
"hsa-miR-30e-5p","RPIA"
"hsa-miR-30e-5p","RRN3"
"hsa-miR-30e-5p","S100A10"
"hsa-miR-30e-5p","SENP2"
"hsa-miR-30e-5p","SENP6"
"hsa-miR-30e-5p","SEPHS1"
"hsa-miR-30e-5p","SERPINE1"
"hsa-miR-30e-5p","SERPINH1"
"hsa-miR-30e-5p","SETD2"
"hsa-miR-30e-5p","SETD5"
"hsa-miR-30e-5p","SFMBT1"
"hsa-miR-30e-5p","SGK3"
"hsa-miR-30e-5p","SIM1"
"hsa-miR-30e-5p","SIRT1"
"hsa-miR-30e-5p","SMAD2"
"hsa-miR-30e-5p","SMC3"
"hsa-miR-30e-5p","SMC5"
"hsa-miR-30e-5p","SORL1"
"hsa-miR-30e-5p","SOS1"
"hsa-miR-30e-5p","SOS2"
"hsa-miR-30e-5p","SP1"
"hsa-miR-30e-5p","SP3"
"hsa-miR-30e-5p","SP4"
"hsa-miR-30e-5p","SPEN"
"hsa-miR-30e-5p","SS18L1"
"hsa-miR-30e-5p","SSX2IP"
"hsa-miR-30e-5p","STK4"
"hsa-miR-30e-5p","STRN"
"hsa-miR-30e-5p","SYNCRIP"
"hsa-miR-30e-5p","TAF4B"
"hsa-miR-30e-5p","TANK"
"hsa-miR-30e-5p","TBL1XR1"
"hsa-miR-30e-5p","TCEB3"
"hsa-miR-30e-5p","TCERG1"
"hsa-miR-30e-5p","TGFBI"
"hsa-miR-30e-5p","TGFBR3"
"hsa-miR-30e-5p","TIFA"
"hsa-miR-30e-5p","TMPO"
"hsa-miR-30e-5p","TNFRSF12A"
"hsa-miR-30e-5p","TNPO3"
"hsa-miR-30e-5p","TOMM20"
"hsa-miR-30e-5p","TOMM70A"
"hsa-miR-30e-5p","TPR"
"hsa-miR-30e-5p","TRAF3IP2"
"hsa-miR-30e-5p","TRIM2"
"hsa-miR-30e-5p","TRIM33"
"hsa-miR-30e-5p","TROVE2"
"hsa-miR-30e-5p","TRPS1"
"hsa-miR-30e-5p","TTF2"
"hsa-miR-30e-5p","TUBB2A"
"hsa-miR-30e-5p","UBR4"
"hsa-miR-30e-5p","UBR5"
"hsa-miR-30e-5p","UCP3"
"hsa-miR-30e-5p","USP45"
"hsa-miR-30e-5p","VCPIP1"
"hsa-miR-30e-5p","VIM"
"hsa-miR-30e-5p","WAC"
"hsa-miR-30e-5p","WASL"
"hsa-miR-30e-5p","XPO1"
"hsa-miR-30e-5p","XPO7"
"hsa-miR-30e-5p","XPOT"
"hsa-miR-30e-5p","XRN1"
"hsa-miR-30e-5p","YES1"
"hsa-miR-30e-5p","YTHDC1"
"hsa-miR-30e-5p","YY1"
"hsa-miR-30e-5p","ZBTB11"
"hsa-miR-30e-5p","ZBTB33"
"hsa-miR-30e-5p","ZFYVE9"
"hsa-miR-30e-5p","ZHX1"
"hsa-miR-30e-5p","ZKSCAN1"
"hsa-miR-30e-5p","ZMYM2"
"hsa-miR-30e-5p","ZMYND11"
"hsa-miR-30e-5p","ZMYND8"
"hsa-miR-30e-5p","ZNF142"
"hsa-miR-30e-5p","ZNF148"
"hsa-miR-30e-5p","ZNF417"
"hsa-miR-30e-5p","ZNF431"
"hsa-miR-30e-5p","ZNF451"
"hsa-miR-30e-5p","ZNF639"
"hsa-miR-30e-5p","ZNHIT6"
"hsa-miR-30e-5p","ZRANB2"
"hsa-miR-31-5p","HIF1A"
"hsa-miR-31-5p","HNRNPH1"
"hsa-miR-31-5p","IL1RAP"
"hsa-miR-31-5p","MAPK9"
"hsa-miR-31-5p","MAPKAPK2"
"hsa-miR-31-5p","NDFIP2"
"hsa-miR-31-5p","NUP153"
"hsa-miR-31-5p","PDE4D"
"hsa-miR-31-5p","PRKAA2"
"hsa-miR-31-5p","PVRL3"
"hsa-miR-31-5p","SUPT16H"
"hsa-miR-31-5p","TFDP1"
"hsa-miR-31-5p","TFRC"
"hsa-miR-31-5p","UBASH3B"
"hsa-miR-31-5p","WSB2"
"hsa-miR-3116","LSM11"
"hsa-miR-3121-5p","SOD2"
"hsa-miR-3124-5p","ID4"
"hsa-miR-3125","VAMP8"
"hsa-miR-3127-5p","ACVRL1"
"hsa-miR-3127-5p","AURKA"
"hsa-miR-3127-5p","HSP90AA1"
"hsa-miR-3127-5p","KLK2"
"hsa-miR-3127-5p","STMN1"
"hsa-miR-3129-5p","CHMP5"
"hsa-miR-3129-5p","EBF1"
"hsa-miR-3129-5p","ITGA1"
"hsa-miR-3129-5p","MMP16"
"hsa-miR-3129-5p","NID2"
"hsa-miR-3129-5p","PAK4"
"hsa-miR-3129-5p","PTPRF"
"hsa-miR-3129-5p","PTPRG"
"hsa-miR-3130-5p","APBB3"
"hsa-miR-3130-5p","ATF7IP"
"hsa-miR-3130-5p","FUS"
"hsa-miR-3130-5p","REL"
"hsa-miR-3130-5p","SETD7"
"hsa-miR-3136-5p","BNC2"
"hsa-miR-3136-5p","CHCHD3"
"hsa-miR-3136-5p","FOXC1"
"hsa-miR-3136-5p","HSPD1"
"hsa-miR-3136-5p","MAPKAPK5"
"hsa-miR-3136-5p","NANOS1"
"hsa-miR-3143","UBE2V2"
"hsa-miR-3145-5p","USP45"
"hsa-miR-3150b-5p","IDH3A"
"hsa-miR-3150b-5p","MAPK1"
"hsa-miR-3150b-5p","NCOA3"
"hsa-miR-3152-5p","ABI2"
"hsa-miR-3154","SYT7"
"hsa-miR-3167","TFCP2"
"hsa-miR-3170","PUM2"
"hsa-miR-3170","RPH3AL"
"hsa-miR-3170","SOCS5"
"hsa-miR-3173-5p","IGF2"
"hsa-miR-3182","SPINT2"
"hsa-miR-3185","EEF2"
"hsa-miR-3188","RFC2"
"hsa-miR-3194-5p","ADRBK2"
"hsa-miR-3194-5p","SPN"
"hsa-miR-3194-5p","THAP1"
"hsa-miR-32-5p","ADM"
"hsa-miR-32-5p","AGTPBP1"
"hsa-miR-32-5p","ANTXR1"
"hsa-miR-32-5p","COL1A2"
"hsa-miR-32-5p","COL5A1"
"hsa-miR-32-5p","DBF4"
"hsa-miR-32-5p","FBLN2"
"hsa-miR-32-5p","FBN1"
"hsa-miR-32-5p","FST"
"hsa-miR-32-5p","HNRNPA2B1"
"hsa-miR-32-5p","HNRNPC"
"hsa-miR-32-5p","ITGA5"
"hsa-miR-32-5p","ITGAV"
"hsa-miR-32-5p","MSH2"
"hsa-miR-32-5p","MYH9"
"hsa-miR-32-5p","PCBP1"
"hsa-miR-32-5p","PMEPA1"
"hsa-miR-32-5p","RPL11"
"hsa-miR-32-5p","SAP18"
"hsa-miR-32-5p","SLC25A38"
"hsa-miR-32-5p","TCEB3"
"hsa-miR-3200-5p","PFN2"
"hsa-miR-320a","CNOT7"
"hsa-miR-320a","DPYSL2"
"hsa-miR-320a","PPP2CB"
"hsa-miR-320a","PSMD11"
"hsa-miR-320a","XPO7"
"hsa-miR-320b","CNOT7"
"hsa-miR-320b","COPS7B"
"hsa-miR-320b","FLNC"
"hsa-miR-320b","ITGB5"
"hsa-miR-320b","YBX1"
"hsa-miR-320c","ACPP"
"hsa-miR-320c","CNOT7"
"hsa-miR-320c","TGFBR1"
"hsa-miR-320d","CASP2"
"hsa-miR-320d","CNOT7"
"hsa-miR-320d","GRIN2A"
"hsa-miR-320d","IPO5"
"hsa-miR-320d","KRIT1"
"hsa-miR-320d","LITAF"
"hsa-miR-320d","LRP6"
"hsa-miR-320d","NFIB"
"hsa-miR-320d","POU2F1"
"hsa-miR-320d","SS18"
"hsa-miR-320d","WNT2"
"hsa-miR-323a-5p","BNC2"
"hsa-miR-323a-5p","CCND2"
"hsa-miR-323a-5p","CDC27"
"hsa-miR-323a-5p","CDH11"
"hsa-miR-323a-5p","CPE"
"hsa-miR-323a-5p","CRTC2"
"hsa-miR-323a-5p","FHL5"
"hsa-miR-323a-5p","GREM2"
"hsa-miR-323a-5p","HMGCR"
"hsa-miR-323a-5p","HTRA1"
"hsa-miR-323a-5p","IGF1"
"hsa-miR-323a-5p","KLHL3"
"hsa-miR-323a-5p","MAP4K4"
"hsa-miR-323a-5p","MITF"
"hsa-miR-323a-5p","PAPPA2"
"hsa-miR-323a-5p","PDE4D"
"hsa-miR-323a-5p","PHLDA1"
"hsa-miR-323a-5p","PVRL3"
"hsa-miR-323a-5p","RHEB"
"hsa-miR-323a-5p","RUNX1T1"
"hsa-miR-323a-5p","SGK1"
"hsa-miR-323a-5p","SMAD3"
"hsa-miR-323a-5p","SMAD5"
"hsa-miR-323a-5p","STRN3"
"hsa-miR-323a-5p","TGFBR2"
"hsa-miR-323a-5p","TIMP3"
"hsa-miR-323a-5p","TNFSF11"
"hsa-miR-323a-5p","WT1"
"hsa-miR-323a-5p","ZFPM2"
"hsa-miR-323b-5p","C6orf47"
"hsa-miR-323b-5p","COL9A2"
"hsa-miR-323b-5p","CREB5"
"hsa-miR-323b-5p","INO80B"
"hsa-miR-324-5p","ACACA"
"hsa-miR-324-5p","ACLY"
"hsa-miR-324-5p","ANXA11"
"hsa-miR-324-5p","AXL"
"hsa-miR-324-5p","BAI2"
"hsa-miR-324-5p","BCL2L1"
"hsa-miR-324-5p","BIRC5"
"hsa-miR-324-5p","BNC2"
"hsa-miR-324-5p","BTG3"
"hsa-miR-324-5p","C8orf33"
"hsa-miR-324-5p","CBX2"
"hsa-miR-324-5p","CBX3"
"hsa-miR-324-5p","CCND2"
"hsa-miR-324-5p","CD151"
"hsa-miR-324-5p","CDC27"
"hsa-miR-324-5p","CENPB"
"hsa-miR-324-5p","CHGB"
"hsa-miR-324-5p","CKAP5"
"hsa-miR-324-5p","COPS3"
"hsa-miR-324-5p","CXXC5"
"hsa-miR-324-5p","DAP3"
"hsa-miR-324-5p","DAZAP2"
"hsa-miR-324-5p","DCLRE1C"
"hsa-miR-324-5p","DLG4"
"hsa-miR-324-5p","DRG1"
"hsa-miR-324-5p","DVL2"
"hsa-miR-324-5p","EBI3"
"hsa-miR-324-5p","EIF2B3"
"hsa-miR-324-5p","ELAVL1"
"hsa-miR-324-5p","FANCA"
"hsa-miR-324-5p","FBL"
"hsa-miR-324-5p","FBXL2"
"hsa-miR-324-5p","FLAD1"
"hsa-miR-324-5p","FOXC1"
"hsa-miR-324-5p","FOXO1"
"hsa-miR-324-5p","FXN"
"hsa-miR-324-5p","FXR2"
"hsa-miR-324-5p","GARS"
"hsa-miR-324-5p","GLI1"
"hsa-miR-324-5p","GMNN"
"hsa-miR-324-5p","GPBP1L1"
"hsa-miR-324-5p","HEXIM1"
"hsa-miR-324-5p","HIC1"
"hsa-miR-324-5p","HLTF"
"hsa-miR-324-5p","HNRNPL"
"hsa-miR-324-5p","HSP90AA1"
"hsa-miR-324-5p","HSPD1"
"hsa-miR-324-5p","IPO5"
"hsa-miR-324-5p","KIAA0408"
"hsa-miR-324-5p","KIAA0513"
"hsa-miR-324-5p","KIF11"
"hsa-miR-324-5p","KPNB1"
"hsa-miR-324-5p","LRP8"
"hsa-miR-324-5p","LTBP3"
"hsa-miR-324-5p","MAD2L1"
"hsa-miR-324-5p","MCM4"
"hsa-miR-324-5p","MRPL37"
"hsa-miR-324-5p","MSH6"
"hsa-miR-324-5p","NLRP1"
"hsa-miR-324-5p","NME3"
"hsa-miR-324-5p","NOLC1"
"hsa-miR-324-5p","NPDC1"
"hsa-miR-324-5p","NSMAF"
"hsa-miR-324-5p","ODC1"
"hsa-miR-324-5p","PEX13"
"hsa-miR-324-5p","PHF1"
"hsa-miR-324-5p","PKD1"
"hsa-miR-324-5p","POGZ"
"hsa-miR-324-5p","POLR1B"
"hsa-miR-324-5p","POU2F1"
"hsa-miR-324-5p","PPM1F"
"hsa-miR-324-5p","PRC1"
"hsa-miR-324-5p","PRKDC"
"hsa-miR-324-5p","PSMD11"
"hsa-miR-324-5p","PSME3"
"hsa-miR-324-5p","RAN"
"hsa-miR-324-5p","RLF"
"hsa-miR-324-5p","SETDB1"
"hsa-miR-324-5p","SF3B3"
"hsa-miR-324-5p","SFPQ"
"hsa-miR-324-5p","SMARCC1"
"hsa-miR-324-5p","SMS"
"hsa-miR-324-5p","SOX11"
"hsa-miR-324-5p","TAOK2"
"hsa-miR-324-5p","TGFB1"
"hsa-miR-324-5p","TIMM50"
"hsa-miR-324-5p","TNIP1"
"hsa-miR-324-5p","TRAFD1"
"hsa-miR-324-5p","TRAP1"
"hsa-miR-324-5p","TSC22D3"
"hsa-miR-324-5p","TUBA1B"
"hsa-miR-324-5p","TUBB"
"hsa-miR-324-5p","TUBG1"
"hsa-miR-324-5p","USP6NL"
"hsa-miR-324-5p","VPS18"
"hsa-miR-324-5p","XBP1"
"hsa-miR-324-5p","XPO1"
"hsa-miR-324-5p","YWHAQ"
"hsa-miR-324-5p","ZBTB16"
"hsa-miR-326","AFTPH"
"hsa-miR-326","ARFRP1"
"hsa-miR-326","ARHGEF12"
"hsa-miR-326","ARIH1"
"hsa-miR-326","BAZ1A"
"hsa-miR-326","BCL11B"
"hsa-miR-326","CD8A"
"hsa-miR-326","FUS"
"hsa-miR-326","GPSM1"
"hsa-miR-326","ID1"
"hsa-miR-326","KIF1C"
"hsa-miR-326","KPNB1"
"hsa-miR-326","LTBP3"
"hsa-miR-326","MAZ"
"hsa-miR-326","MGA"
"hsa-miR-326","NR1H2"
"hsa-miR-326","NSD1"
"hsa-miR-326","NUFIP2"
"hsa-miR-326","PLXNB1"
"hsa-miR-326","RAD54L2"
"hsa-miR-326","RARG"
"hsa-miR-326","RECQL5"
"hsa-miR-326","RNF139"
"hsa-miR-326","SETD7"
"hsa-miR-326","SH2B3"
"hsa-miR-326","ST3GAL3"
"hsa-miR-326","STRBP"
"hsa-miR-326","TAOK1"
"hsa-miR-326","TAOK2"
"hsa-miR-326","TBL1XR1"
"hsa-miR-326","THRAP3"
"hsa-miR-326","TLR4"
"hsa-miR-326","TNFSF15"
"hsa-miR-326","TTF2"
"hsa-miR-326","XPO1"
"hsa-miR-326","ZFP91"
"hsa-miR-328-5p","APP"
"hsa-miR-328-5p","ARL6IP1"
"hsa-miR-328-5p","BCL3"
"hsa-miR-328-5p","CREB1"
"hsa-miR-328-5p","DYNLL1"
"hsa-miR-328-5p","DYNLL2"
"hsa-miR-328-5p","EP300"
"hsa-miR-328-5p","ESRRA"
"hsa-miR-328-5p","FOXS1"
"hsa-miR-328-5p","FUBP1"
"hsa-miR-328-5p","GFER"
"hsa-miR-328-5p","GOSR1"
"hsa-miR-328-5p","HOXD9"
"hsa-miR-328-5p","LPP"
"hsa-miR-328-5p","MIB1"
"hsa-miR-328-5p","NUFIP2"
"hsa-miR-328-5p","RANBP10"
"hsa-miR-328-5p","WAC"
"hsa-miR-329-5p","BNC2"
"hsa-miR-329-5p","FOXC1"
"hsa-miR-329-5p","GATAD2B"
"hsa-miR-329-5p","HIF1A"
"hsa-miR-329-5p","HMGCR"
"hsa-miR-329-5p","KCNJ12"
"hsa-miR-329-5p","LHX9"
"hsa-miR-329-5p","SS18"
"hsa-miR-330-5p","BIRC5"
"hsa-miR-330-5p","BUB1"
"hsa-miR-330-5p","CALM1"
"hsa-miR-330-5p","CCNK"
"hsa-miR-330-5p","CCT3"
"hsa-miR-330-5p","CD47"
"hsa-miR-330-5p","CDC25A"
"hsa-miR-330-5p","E2F2"
"hsa-miR-330-5p","GNA13"
"hsa-miR-330-5p","GPRASP2"
"hsa-miR-330-5p","GPSM2"
"hsa-miR-330-5p","ID1"
"hsa-miR-330-5p","IGBP1"
"hsa-miR-330-5p","KCMF1"
"hsa-miR-330-5p","KPNA2"
"hsa-miR-330-5p","LRPPRC"
"hsa-miR-330-5p","MELK"
"hsa-miR-330-5p","MIDN"
"hsa-miR-330-5p","MKI67"
"hsa-miR-330-5p","NDUFB9"
"hsa-miR-330-5p","NUDT5"
"hsa-miR-330-5p","PVR"
"hsa-miR-330-5p","SFMBT1"
"hsa-miR-330-5p","SFPQ"
"hsa-miR-330-5p","SHC2"
"hsa-miR-330-5p","STRBP"
"hsa-miR-330-5p","TAF2"
"hsa-miR-330-5p","TLR6"
"hsa-miR-330-5p","TPM3"
"hsa-miR-330-5p","TRPS1"
"hsa-miR-330-5p","WAC"
"hsa-miR-331-5p","ABI2"
"hsa-miR-331-5p","ADRA2C"
"hsa-miR-331-5p","AGRN"
"hsa-miR-331-5p","ANXA11"
